island_name,Agkistrodon_contortrix,Agkistrodon_piscivorus,Arizona_elegans,Carphophis_amoenus,Carphophis_vermis,Cemophora_coccinea,Clonophis_kirtlandii,Coluber_constrictor,Coniophanes_imperialis,Crotalus_adamanteus,Crotalus_atrox,Crotalus_horridus,Diadophis_punctatus,Drymarchon_corais,Drymarchon_couperi,Drymobius_margaritiferus,Farancia_abacura,Farancia_erytrogramma,Ficimia_streckeri,Heterodon_nasicus,Heterodon_platirhinos,Heterodon_simus,Hypsiglena_jani,Lampropeltis_calligaster,Lampropeltis_elapsoides,Lampropeltis_extenuata,Lampropeltis_gentilis,Lampropeltis_getula,Lampropeltis_holbrooki,Lampropeltis_nigra,Lampropeltis_triangulum,Leptodeira_septentrionalis,Masticophis_flagellum,Masticophis_schotti,Micrurus_fulvius,Micrurus_tener,Nerodia_clarkii,Nerodia_cyclopion,Nerodia_erythrogaster,Nerodia_fasciata,Nerodia_floridana,Nerodia_rhombifer,Nerodia_sipedon,Nerodia_taxispilota,Opheodrys_aestivus,Opheodrys_vernalis,Pantherophis_alleghaniensis,Pantherophis_bairdi,Pantherophis_emoryi,Pantherophis_guttatus,Pantherophis_obsoletus,Pantherophis_slowinskii,Pantherophis_spiloides,Pantherophis_vulpinus,Pituophis_catenifer,Pituophis_melanoleucus,Pituophis_ruthveni,Regina_alleni,Regina_grahami,Regina_rigida,Regina_septemvittata,Rena_dulcis,Rhadinaea_flavilata,Rhinocheilus_lecontei,Salvadora_grahamiae,Seminatrix_pygaea,Sistrurus_catenatus,Sistrurus_miliarius,Sonora_semiannulata,Storeria_dekayi,Storeria_occipitomaculata,Tantilla_coronata,Tantilla_gracilis,Tantilla_nigriceps,Tantilla_oolitica,Tantilla_relicta,Thamnophis_brachystoma,Thamnophis_butleri,Thamnophis_marcianus,Thamnophis_proximus,Thamnophis_sauritus,Thamnophis_sirtalis,Virginia_striatula,Virginia_valeriae
Fisherman_VA,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
Bald_Head_NC,3,1,0,0,0,2,0,2,0,0,0,1,1,0,0,0,1,2,0,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,5,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
St.Catherines_GA,48,38,0,0,0,59,0,95,0,22,0,20,208,0,16,0,49,7,0,0,28,3,0,0,171,0,0,78,0,0,0,0,7,0,0,0,0,0,29,166,2,0,0,33,27,0,54,0,0,87,0,0,0,0,0,14,0,0,0,34,0,0,0,0,0,10,0,46,0,8,21,6,0,0,0,0,0,0,0,0,117,58,274,11
Blackbeard_GA,44,39,0,0,0,58,0,113,0,22,0,20,208,24,0,0,48,16,0,0,28,3,0,0,168,0,0,78,0,0,0,0,7,0,0,0,0,0,29,167,1,0,9,24,27,0,54,0,0,86,0,0,0,0,0,14,0,0,0,34,0,0,0,0,0,10,0,46,0,8,21,6,0,0,0,0,0,0,0,0,85,61,274,11
Jekyll_GA,0,8,0,0,0,1,0,14,0,10,0,7,8,1,0,0,6,3,0,0,5,0,0,0,5,0,0,9,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,1,6,0,11,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,8,1,0,8,6,0,0,0,0,0,0,0,0,0,18,17,5,0
Cumberland_GA,0,8,0,0,0,1,0,14,0,10,0,7,8,1,0,0,6,3,0,0,5,0,0,0,5,0,0,9,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,1,6,0,11,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,8,1,0,8,6,0,0,0,0,0,0,0,0,0,18,17,5,0
Ossabaw_GA,131,38,0,0,0,82,0,53,0,50,0,52,157,16,0,0,57,37,0,0,52,4,0,0,105,0,0,54,0,0,0,0,11,0,0,0,0,0,13,205,0,0,0,38,29,0,72,0,0,70,0,0,0,0,0,16,0,0,0,46,0,0,0,0,0,16,0,23,0,63,44,2,0,0,0,0,0,0,0,0,97,62,156,20
Tybee_GA,105,29,0,0,0,65,0,33,0,40,0,41,52,0,0,0,36,28,0,0,33,2,0,0,23,0,0,36,0,0,0,0,11,0,0,0,0,0,9,160,0,0,0,23,20,0,48,0,0,34,0,0,0,0,0,4,0,0,0,33,0,0,0,0,0,8,0,8,0,62,37,0,0,0,0,0,0,0,0,0,60,51,15,12
Wassaw_GA,131,38,0,0,0,82,0,53,0,50,0,52,157,16,0,0,57,37,0,0,52,4,0,0,105,0,0,54,0,0,0,0,11,0,0,0,0,0,13,205,0,0,0,38,29,0,72,0,0,70,0,0,0,0,0,16,0,0,0,46,0,0,0,0,0,16,0,23,0,63,44,2,0,0,0,0,0,0,0,0,97,62,156,20
St.Simmons_GA,0,8,0,0,0,1,0,14,0,10,0,7,8,1,0,0,6,3,0,0,5,0,0,0,5,0,0,9,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,1,6,0,11,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,8,1,0,8,6,0,0,0,0,0,0,0,0,0,18,17,5,0
Little_St.Simons_GA,0,8,0,0,0,1,0,14,0,10,0,7,8,1,0,0,6,3,0,0,5,0,0,0,5,0,0,9,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,1,6,0,11,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,8,1,0,8,6,0,0,0,0,0,0,0,0,0,18,17,5,0
Key_Biscayne_FL(FLMN),0,160,0,0,0,29,0,167,0,43,0,0,73,0,28,0,50,0,0,0,21,0,0,0,16,28,0,85,0,0,0,0,22,0,59,0,0,1,0,393,205,0,0,22,93,0,116,0,0,155,0,0,0,0,0,2,0,86,0,0,0,0,0,0,0,11,0,170,0,94,0,0,0,0,13,0,0,0,0,0,199,211,0,0
Roanoke_Island_NC,19,13,0,1,0,0,0,39,0,0,0,7,1,0,0,0,8,0,0,0,9,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,15,17,0,0,67,2,6,0,5,0,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,26,0,24,5,0,0,0,0,0,0,0,0,0,10,10,5,0
Brodie_NC,19,13,0,1,0,0,0,39,0,0,0,7,1,0,0,0,8,0,0,0,9,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,15,17,0,0,67,2,6,0,5,0,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,26,0,24,5,0,0,0,0,0,0,0,0,0,10,10,5,0
Hatteras_NC,19,13,0,1,0,0,0,39,0,0,0,7,1,0,0,0,8,0,0,0,9,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,15,17,0,0,67,2,6,0,5,0,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,26,0,24,5,0,0,0,0,0,0,0,0,0,10,10,5,0
Isle_of_the_Palms_SC,14,5,0,2,0,6,0,9,0,1,0,2,2,0,0,0,1,4,0,0,4,9,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,28,5,0,0,0,3,4,0,15,0,0,8,0,0,0,0,0,1,0,0,0,4,1,0,1,0,0,5,0,11,0,2,3,2,0,0,0,0,0,0,0,0,7,7,5,0
Sanibel_Island_FL,0,15,0,0,0,5,0,31,0,6,0,0,15,0,14,0,2,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,3,0,0,18,35,0,0,3,2,0,8,0,0,13,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,1,0,0,0,0,25,15,0,0
StVincent_NWR_FL,0,27,0,0,0,20,0,54,0,5,0,0,4,0,0,0,18,5,0,0,1,1,0,3,5,0,0,50,0,0,0,0,3,0,2,0,39,0,23,68,3,0,7,9,11,0,0,0,0,18,0,0,6,0,0,1,0,1,0,11,0,0,2,0,0,2,0,30,0,7,1,1,0,0,0,0,0,0,0,0,26,20,16,0
Dauphin_AL,2,31,0,1,0,15,0,10,0,22,0,0,12,0,0,0,4,2,0,0,15,4,0,1,4,0,0,0,0,11,0,0,5,0,0,0,136,8,0,10,0,5,12,0,5,0,0,0,0,8,0,0,13,0,0,17,0,0,0,2,6,0,3,0,0,0,2,5,0,4,1,6,0,0,0,0,0,0,0,0,21,10,3,1
Padre_IS_Seashore-TX,0,3,23,0,0,2,0,19,21,0,44,0,0,34,0,5,0,0,6,1,1,1,4,1,0,0,7,0,3,0,0,5,39,25,0,35,1,0,5,0,0,42,0,0,1,0,0,0,27,1,4,0,1,0,19,0,0,0,0,0,0,2,0,6,24,0,2,1,7,16,0,0,7,3,0,0,0,0,68,104,0,0,1,0
Horn_MS,2,28,0,0,0,3,0,23,0,1,0,0,42,0,0,0,6,2,0,0,6,1,0,1,6,0,0,23,0,0,0,0,4,0,0,0,5,5,1,11,0,1,0,0,4,0,7,0,0,7,1,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,16,0,1,1,7,0,0,0,0,0,0,0,0,1,2,5,9
Cat_Island_MS,2,28,0,0,0,3,0,23,0,1,0,0,42,0,0,0,6,2,0,0,6,1,0,1,6,0,0,23,0,0,0,0,4,0,0,0,5,5,1,11,0,1,0,0,4,0,7,0,0,7,1,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,16,0,1,1,7,0,0,0,0,0,0,0,0,1,2,5,9
West_Ship_MS,2,28,0,0,0,3,0,23,0,1,0,0,42,0,0,0,6,2,0,0,6,1,0,1,6,0,0,23,0,0,0,0,4,0,0,0,5,5,1,11,0,1,0,0,4,0,7,0,0,7,1,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,16,0,1,1,7,0,0,0,0,0,0,0,0,1,2,5,9
East_Ship_MS,2,28,0,0,0,3,0,23,0,1,0,0,42,0,0,0,6,2,0,0,6,1,0,1,6,0,0,23,0,0,0,0,4,0,0,0,5,5,1,11,0,1,0,0,4,0,7,0,0,7,1,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,16,0,1,1,7,0,0,0,0,0,0,0,0,1,2,5,9
Petit_Bois_MS,2,28,0,0,0,3,0,23,0,1,0,0,42,0,0,0,6,2,0,0,6,1,0,1,6,0,0,23,0,0,0,0,4,0,0,0,5,5,1,11,0,1,0,0,4,0,7,0,0,7,1,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,16,0,1,1,7,0,0,0,0,0,0,0,0,1,2,5,9
Perdido_Key_FL,15,11,0,0,13,13,25,25,12,12,0,14,19,5,0,10,15,5,0,15,31,16,3,19,16,0,7,7,2,2,0,14,14,5,13,1,2,2,45,44,0,10,16,20,14,0,0,0,18,18,0,19,19,0,22,22,0,0,18,36,18,0,0,0,3,3,33,33,3,8,26,21,0,0,0,0,0,0,3,9,12,9,8,5
Santa_Rosa_FL,3,2,0,0,0,10,0,16,0,5,0,0,11,5,0,0,9,1,0,0,11,10,0,2,14,0,0,7,0,0,0,0,12,0,5,0,0,0,1,23,0,0,10,5,8,0,0,0,0,12,0,0,15,0,0,18,0,0,0,18,18,0,0,0,0,3,0,11,0,3,4,20,0,0,0,0,0,0,0,3,1,3,3,3
Big_Pine_Key_FL,0,25,0,0,0,3,0,64,0,32,0,0,22,0,17,0,2,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,2,0,5,0,181,0,0,127,10,0,0,5,48,0,0,0,42,41,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,11,0,17,0,0,0,0,12,0,0,0,0,0,42,13,0,0
Marthas_Vineyard_MA,0,0,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,35,0,0
Seahorse0Key_FL,0,53,0,0,0,4,0,32,0,21,0,0,8,0,1,0,13,0,0,0,2,0,0,0,6,4,0,0,0,0,0,0,8,0,11,0,50,0,0,40,1,0,0,4,2,0,46,0,0,14,0,0,0,0,0,17,0,5,0,0,0,0,1,0,0,5,0,22,0,0,1,0,0,0,27,0,0,0,0,0,48,30,0,0
Egmont_Key_FL,0,11,0,0,0,26,0,55,0,23,0,0,23,0,10,0,9,2,0,0,5,3,0,0,19,3,0,33,0,0,0,0,5,0,0,0,136,0,0,61,15,0,0,6,17,0,34,0,0,61,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,11,0,69,0,5,0,0,0,0,0,13,0,0,0,0,36,22,0,0
Ocrakcoke_NC,19,14,0,1,0,0,0,39,0,0,0,7,1,0,0,0,8,0,0,0,9,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,15,17,0,0,67,2,6,0,5,0,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,26,0,24,5,0,0,0,0,0,0,0,0,0,10,10,5,0
Shackelford_Banks_NC,9,0,0,2,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,0,0,33,0,5,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Kiawah_SC,29,27,0,0,0,12,0,14,0,8,0,13,60,0,0,0,34,20,0,0,9,3,0,0,29,0,0,20,0,0,0,0,5,0,0,0,0,0,11,34,0,0,1,19,8,0,16,0,0,30,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,6,0,16,0,24,28,16,0,0,0,0,0,0,0,0,23,20,0,67
Capers_SC,29,27,0,0,0,12,0,14,0,8,0,13,60,0,0,0,34,20,0,0,9,3,0,0,29,0,0,20,0,0,0,0,5,0,0,0,0,0,11,34,0,0,1,19,8,0,16,0,0,30,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,6,0,16,0,24,28,16,0,0,0,0,0,0,0,0,23,20,0,67
