study_ID,Study,island_code,island_name,number_of_islands,n_island_cat,island_area_ha,island_area_source,elevation_m_asl,elevation_source,elevation_category,Taxa,island_type,DEM_elevation_max,DEM_elevation_min,island_lat,island_lon,island_type2,fixed_proportional,dataset_coord_lat,dataset_coord_long,sampling_effort,sampling_effort_unit,sampling_method,sampling_method_dimensions,sampling_notes,sampling_time_frame,no_hours_sampled
Bell_2017,Bell_2017_data,GL,NA,30,16 to 30,0.7,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.113979,-105.239216,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,HB,NA,30,16 to 30,0.5,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.084096,-105.003672,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,JO,NA,30,16 to 30,130.2,Bell_2017,393,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.180049,-104.979154,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,KD,NA,30,16 to 30,29.4,Bell_2017,372,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.198865,-105.059707,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,KS,NA,30,16 to 30,3.4,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.10197,-105.127771,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,LG,NA,30,16 to 30,0.6,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.179011,-104.932673,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,LO,NA,30,16 to 30,15.1,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.193758,-104.953544,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,LQ,NA,30,16 to 30,26.9,Bell_2017,374,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.19983,-104.867697,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,LV,NA,30,16 to 30,169.1,Bell_2017,382,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.086445,-104.992028,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,LZ,NA,30,16 to 30,289.2,Bell_2017,399,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.213874,-104.954484,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,MT,NA,30,16 to 30,7.5,Bell_2017,371,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.124828,-105.192045,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,NC,NA,30,16 to 30,19.3,Bell_2017,380,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.140597,-104.857851,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,NT,NA,30,16 to 30,43.2,Bell_2017,390,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.120802,-104.942421,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,RB,NA,30,16 to 30,2.5,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.053817,-105.007133,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,RI,NA,30,16 to 30,1.6,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.078029,-105.023741,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,ROSS,NA,30,16 to 30,534.8,Bell_2017,391,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.144176,-105.14191,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,SD,NA,30,16 to 30,8.2,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.110376,-105.099904,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,TB,NA,30,16 to 30,19.5,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.109486,-104.889988,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,UK,NA,30,16 to 30,124.3,Bell_2017,370,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.145005,-105.11301,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Borges_2016,Borges_2016_data,FAI,Faial,7,3 to 9,17306,Borges_2016,1043,Borges_2016,maximum elevation,Invertebrates,True Island,1050,1,38.57583333,-28.7125,volcanic,not_standardized,38.38388543,-27.82974724,13,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,FLO,Flores,7,3 to 9,14102,Borges_2016,911,Borges_2016,maximum elevation,Invertebrates,True Island,914,1,39.46666667,-31.21666667,volcanic,not_standardized,38.38388543,-27.82974724,16,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,PIC,Pico,7,3 to 9,44498,Borges_2016,2350,Borges_2016,maximum elevation,Invertebrates,True Island,2319,1,38.504213,-28.567602,volcanic,not_standardized,38.38388543,-27.82974724,20,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,SJG,Saojorge,7,3 to 9,24365,Borges_2016,1053,Borges_2016,maximum elevation,Invertebrates,True Island,1042,1,38.669108,-28.183559,volcanic,not_standardized,38.38388543,-27.82974724,12,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,SMG,Saomiguel,7,3 to 9,74456,Borges_2016,1105,Borges_2016,maximum elevation,Invertebrates,True Island,1094,1,37.77,-25.47,volcanic,not_standardized,38.38388543,-27.82974724,18,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,SMR,Santamaria,7,3 to 9,9689,Wikipedia,590,Wikipedia,maximum elevation,Invertebrates,True Island,570,1,36.977716,-25.173433,volcanic,not_standardized,38.38388543,-27.82974724,10,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,TER,Terceira,7,3 to 9,40030,Borges_2016,1021,Borges_2016,maximum elevation,Invertebrates,True Island,1028,1,38.723661,-27.48447,volcanic,not_standardized,38.38388543,-27.82974724,63,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Choi_2011,Choi_2011_data,B1,Dongsouido,17,16 to 30,45,Choi_2011,77,Choi_2011,maximum elevation,Invertebrates,True Island,338,1,34.613412,125.843147,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,B2,Seosouido,17,16 to 30,27,Choi_2011,40,Choi_2011,maximum elevation,Invertebrates,True Island,65,1,34.60699,125.86979,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,B3,Daeyado,17,16 to 30,426,Choi_2011,306,Choi_2011,maximum elevation,Invertebrates,True Island,290,1,34.634215,125.960874,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,B4,Sindo,17,16 to 30,168,Choi_2011,179.3,Choi_2011,maximum elevation,Invertebrates,True Island,164,1,34.590742,125.975606,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,G1,Sangbaekdo,17,16 to 30,7,Choi_2011,180,Choi_2011,maximum elevation,Invertebrates,True Island,159,1,34.059812,127.390208,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,G2,Daesambudo,17,16 to 30,77.8,Choi_2011,160,Choi_2011,maximum elevation,Invertebrates,True Island,105,1,34.056259,127.583639,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,H1,Damuldo,17,16 to 30,161,Choi_2011,99,Choi_2011,maximum elevation,Invertebrates,True Island,104,1,34.738585,125.443101,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,H2,Daedundo,17,16 to 30,334,Choi_2011,163,Choi_2011,maximum elevation,Invertebrates,True Island,143,1,34.726469,125.457308,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,H3,Yeongsando,17,16 to 30,220,Choi_2011,100,Choi_2011,maximum elevation,Invertebrates,True Island,210,1,34.649062,125.466187,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,J1,Donggeochado,17,16 to 30,340,Choi_2011,137.9,Choi_2011,maximum elevation,Invertebrates,True Island,124,1,34.235047,125.939389,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,J2,Seogeochado,17,16 to 30,283,Choi_2011,135.7,Choi_2011,maximum elevation,Invertebrates,True Island,146,1,34.255754,125.911724,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,J3,Daemado,17,16 to 30,282,Choi_2011,74,Choi_2011,maximum elevation,Invertebrates,True Island,162,1,34.264185,125.990307,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,J4,Dokgeodo,17,16 to 30,169,Choi_2011,178.4,Choi_2011,maximum elevation,Invertebrates,True Island,171,1,34.251564,126.178967,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,J5,Maenggoldo,17,16 to 30,173,Choi_2011,132.2,Choi_2011,maximum elevation,Invertebrates,True Island,124,1,34.213049,125.856189,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,S1,Daemodo,17,16 to 30,583,Choi_2011,243,Choi_2011,maximum elevation,Invertebrates,True Island,220,1,34.196621,126.75802,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Choi_2011,Choi_2011_data,S2,Hoenggando,17,16 to 30,354,Choi_2011,200.6,Choi_2011,maximum elevation,Invertebrates,True Island,190,1,34.241166,126.610678,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
