study_ID,Study,island_code,number_of_islands,n_island_cat,island_name,island_area_ha,island_area_source,elevation_m_asl,elevation_source,elevation_category,Taxa,Type_of_island,island_type,dataset_coord_lat_long,island_coord,island_coord_richtext,island_lat,island_lon,sampling_effort,sampling_effort_unit
Bell_2017,Bell_2017_data,EW,30,15 to 30,,0.20,,NA,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.141667N, 105.124381W","55.141667N, 105.124381W",55.141667,-105.124381,1,balanced
Bell_2017,Bell_2017_data,FI,30,15 to 30,,0.30,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.079915N, 105.149625w","55.079915N, 105.149625w",55.079915,-105.149625,1,balanced
Bell_2017,Bell_2017_data,FU,30,15 to 30,,2.60,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.098953N, 105.233235W","55.098953N, 105.233235W",55.098953,-105.233235,1,balanced
Bell_2017,Bell_2017_data,GL,30,15 to 30,,0.70,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.113979N,105.239216W","55.113979N,105.239216W",55.113979,-105.239216,1,balanced
Bell_2017,Bell_2017_data,HB,30,15 to 30,,0.50,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.084096n, 105.003672w","55.084096n, 105.003672w",55.084096,-105.003672,1,balanced
Bell_2017,Bell_2017_data,JO,30,15 to 30,,130.20,,393,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.180049n, 104.979154w","55.180049n, 104.979154w",55.180049,-104.979154,1,balanced
Bell_2017,Bell_2017_data,KD,30,15 to 30,,29.40,,372,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.198865n, 105.059707w","55.198865n, 105.059707w",55.198865,-105.059707,1,balanced
Bell_2017,Bell_2017_data,KS,30,15 to 30,,3.40,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.101970N, 105.127771w","55.101970N, 105.127771w",55.10197,-105.127771,1,balanced
Bell_2017,Bell_2017_data,LG,30,15 to 30,,0.60,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.179011n, 104.932673w","55.179011n, 104.932673w",55.179011,-104.932673,1,balanced
Bell_2017,Bell_2017_data,LO,30,15 to 30,,15.10,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.193758n, 104.953544w","55.193758n, 104.953544w",55.193758,-104.953544,1,balanced
Bell_2017,Bell_2017_data,LQ,30,15 to 30,,26.90,,374,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.199830n, 104.867697w","55.199830n, 104.867697w",55.19983,-104.867697,1,balanced
Bell_2017,Bell_2017_data,LV,30,15 to 30,,169.10,,382,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.086445n, 104.992028w","55.086445n, 104.992028w",55.086445,-104.992028,1,balanced
Bell_2017,Bell_2017_data,LZ,30,15 to 30,,289.20,,399,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.213874n, 104.954484w","55.213874n, 104.954484w",55.213874,-104.954484,1,balanced
Bell_2017,Bell_2017_data,MT,30,15 to 30,,7.50,,371,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.124828N, 105,192045W","55.124828N, 105,192045W",55.124828,-105.192045,1,balanced
Bell_2017,Bell_2017_data,NC,30,15 to 30,,19.30,,380,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.140597n, 104.857851w","55.140597n, 104.857851w",55.140597,-104.857851,1,balanced
Bell_2017,Bell_2017_data,NT,30,15 to 30,,43.20,,390,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.120802n, 104.942421w","55.120802n, 104.942421w",55.120802,-104.942421,1,balanced
Bell_2017,Bell_2017_data,RB,30,15 to 30,,2.50,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.053817n, 105.007133w","55.053817n, 105.007133w",55.053817,-105.007133,1,balanced
Bell_2017,Bell_2017_data,RI,30,15 to 30,,1.60,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.078029n, 105.023741w","55.078029n, 105.023741w",55.078029,-105.023741,1,balanced
Bell_2017,Bell_2017_data,ROSS,30,15 to 30,,534.80,,391,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.144176N, 105.141910W","55.144176N, 105.141910W",55.144176,-105.14191,1,balanced
Bell_2017,Bell_2017_data,SD,30,15 to 30,,8.20,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.110376N, 105.099904W","55.110376N, 105.099904W",55.110376,-105.099904,1,balanced
Bell_2017,Bell_2017_data,TB,30,15 to 30,,19.50,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.109486n, 104.889988w","55.109486n, 104.889988w",55.109486,-104.889988,1,balanced
Bell_2017,Bell_2017_data,UK,30,15 to 30,,124.30,,370,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.145005N, 105.113010W","55.145005N, 105.113010W",55.145005,-105.11301,1,balanced
Borges_2016,Borges_2016_data,FAI,7,3 to 9,,17306.00,Borges_2016,1043,Borges_2016,maximum elevation,Invertebrates,True island,True island,"39.260818,-30.647224","38°34'33""N 28°42'45""W",38°34′33″N 28°42′45″W,38.57583333,-28.7125,13,total number of transects
Borges_2016,Borges_2016_data,FLO,7,3 to 9,,14102.00,Borges_2016,911,Borges_2016,maximum elevation,Invertebrates,True island,True island,"39.260818,-30.647224",39°28'N 31°13'W,39°28′N 31°13′W,39.46666667,-31.21666667,16,total number of transects
Borges_2016,Borges_2016_data,PIC,7,3 to 9,,44498.00,Borges_2016,2350,Borges_2016,maximum elevation,Invertebrates,True island,True island,"39.260818,-30.647224","38.504213N, -28.567602E","38.504213N, -28.567602E",38.504213,-28.567602,20,total number of transects
Borges_2016,Borges_2016_data,SJG,7,3 to 9,,24365.00,Borges_2016,1053,Borges_2016,maximum elevation,Invertebrates,True island,True island,"39.260818,-30.647224","38.669108N, -28.183559E","38.669108N, -28.183559E",38.669108,-28.183559,12,total number of transects
Borges_2016,Borges_2016_data,SMG,7,3 to 9,,74456.00,Borges_2016,1105,Borges_2016,maximum elevation,Invertebrates,True island,True island,"39.260818,-30.647224",37.77°N 25.47°W,37.77°N 25.47°W,37.77,-25.47,18,total number of transects
Borges_2016,Borges_2016_data,SMR,7,3 to 9,,9689,Wikipedia,590,Wikipedia,maximum elevation,Invertebrates,True island,True island,"39.260818,-30.647224","36.977716N, -25.173433E","36.977716N, -25173433E",36.977716,-25.173433,10,total number of transects
Borges_2016,Borges_2016_data,TER,7,3 to 9,,40030.00,Borges_2016,1021,Borges_2016,maximum elevation,Invertebrates,True island,True island,"39.260818,-30.647224","38.723661N, -27.48447E","38.723661N, -27.48447E",38.723661,-27.48447,63,total number of transects
Buden_2000,Buden_2000_data,DP,,,Dehpehk,118.00,,3 to 12,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"6°56'52.6""N 158°17'49.9""E","6°56'52.6""N 158°17'49.9""E",6.947944444,158.2971944,2.2,hour during daytime
Buden_2000,Buden_2000_data,LN,,,Lenger,36.79,,3 to 60,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"6°59'48.6""N 158°13'50.5""E","6°59'48.6""N 158°13'50.5""E",6.996833333,158.2306944,5.4,hour during day- and nighttime
Buden_2000,Buden_2000_data,MI,,,Mwahnd Peidi,67.00,,3 to 30,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"6°58'55.7""N 158°17'04.4""E","6°58'55.7""N 158°17'04.4""E",6.982138889,158.2845556,0.8,hour during daytime
Buden_2000,Buden_2000_data,MK,,,Mwahnd Peidak,76.43,,3 to 12,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"6°59'17.0""N 158°17'50.6""E","6°59'17.0""N 158°17'50.6""E",6.988055556,158.2973889,1.7,hour during daytime
Buden_2000,Buden_2000_data,NA,,,Na,60.39,,3,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"6°51'00.8""N 158°21'22.0""E","6°51'00.8""N 158°21'22.0""E",6.850222222,158.3561111,5.7,hour during day- and nighttime
Buden_2000,Buden_2000_data,NL,,,Nahlap,8.71,,3,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"6°47'05.9""N 158°09'16.8""E","6°47'05.9""N 158°09'16.8""E",6.784972222,158.1546667,2.3,hour during daytime
Buden_2000,Buden_2000_data,NP,,,Nahpali,10.68,,3,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"6°58'58.4""N 158°12'46.8""E","6°58'58.4""N 158°12'46.8""E",6.982888889,158.213,1,hour during daytime
Buden_2000,Buden_2000_data,PA,,,Parempei,214.00,,3 to 6,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"7°00'06.7""N 158°15'21.3""E","7°00'06.7""N 158°15'21.3""E",7.001861111,158.2559167,1.8,hour during daytime
Buden_2000,Buden_2000_data,SA,,,Sapwtik,8.42,,3 to 6,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"7°00'17.6""N 158°13'30.2""E","7°00'17.6""N 158°13'30.2""E",7.004888889,158.2250556,1,hour during daytime
Buden_2000,Buden_2000_data,TK,,,Takaieu,225.00,,3 to 18,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"6°56'03.0""N 158°17'41.6""E","6°56'03.0""N 158°17'41.6""E",6.934166667,158.2948889,2.6,hour during daytime
Buden_2000,Buden_2000_data,TM,,,Temwen,275.00,,30,Buden_2000,plot elevation,Herpetofauna,True island,Atoll,,"6°50'51.5""N 158°19'36.5""E","6°50'51.5""N 158°19'36.5""E",6.847638889,158.3268056,0.5,hour during daytime
Buden_2015,Buden_2015_data,Etesich (Tako),,,,0.40,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°16'55""N, 151°52'39""E","7°16'55""N, 151°52'39""E",7.281944444,151.8775,0,hour
Buden_2015,Buden_2015_data,Ettekin (Atkin),,,,1.00,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°16'55""N, 151°52'54""E","7°16'55""N, 151°52'54""E",7.281944444,151.8816667,1,hour
Buden_2015,Buden_2015_data,Fanahn (Fanan),,,,46.50,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°11'21""N, 151°58'45""E","7°11'21""N, 151°58'45""E",7.189166667,151.9791667,1,day
Buden_2015,Buden_2015_data,Fananoon (Fananan),,,,4.10,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°16'32""N, 151°55'27""E","7°16'32""N, 151°55'27""E",7.275555556,151.9241667,1,day
Buden_2015,Buden_2015_data,Fanonuk (Hecq),,,,1.60,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°04'13""N, 151°55'48E""","7°04'13""N, 151°55'48""",7.070277778,151.93,1,hour
Buden_2015,Buden_2015_data,Feinif (Feinif ),,,,0.20,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°14'45""N, 152°01'09""E","7°14'45""N, 152°01'09""E",7.245833333,152.0191667,0.5,hour
Buden_2015,Buden_2015_data,Fenaik (Lauvergne),,,,1.20,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°00'58""N, 151°59'43""E","7°00'58""N, 151°59'43""E",7.016111111,151.9952778,0.5,hour
Buden_2015,Buden_2015_data,Fenat (Faleat),,,,0.20,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°17'23""N, 151°54'18""E","7°17'23""N, 151°54'18""E",7.289722222,151.905,0.5,hour
Buden_2015,Buden_2015_data,Fenepi (Givry),,,,36.30,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°06'45""N, 151°52'38""E","7°06'45""N, 151°52'38""E",7.1125,151.8772222,2,day
Buden_2015,Buden_2015_data,Fonou (Faneu),,,,5.10,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°15'55""N, 151°54'00""E","7°15'55""N, 151°54'00""E",7.265277778,151.9,1,hour
Buden_2015,Buden_2015_data,Ipis (South Island),,,,10.10,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"6°59'18'N, 151°58'17""E","6°59'18'N, 151°58'17""E",6.988333333,151.9713889,2,day
Buden_2015,Buden_2015_data,Meseong (Mesegon),,,,84.80,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°08'43""N, 151°54'35""E","7°08'43""N, 151°54'35""E",7.145277778,151.9097222,1,hour
Buden_2015,Buden_2015_data,Mutukun (Mutukun),,,,0.10,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°08'55""N, 151°53'43""E","7°08'55""N, 151°53'43""E",7.148611111,151.8952778,0,hour
Buden_2015,Buden_2015_data,Natchu (Nottu),,,,2.00,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°13'14""n, 151°59'25""E","7°13'14""n, 151°59'25""E",7.220555556,151.9902778,0.5,hour
Buden_2015,Buden_2015_data,Onanam (Onnaram),,,,0.30,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°16'34""N, 151°57'07""E","7°16'34""N, 151°57'07""E",7.276111111,151.9519444,0.3,hour
Buden_2015,Buden_2015_data,Osan (Ozen),,,,0.40,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°15'27""N, 151°55'37""E","7°15'27""N, 151°55'37""E",7.2575,151.9269444,0.5,hour
Buden_2015,Buden_2015_data,Otcha (Otta),,,,25.00,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°09'02""N, 151°53'24E","7°09'02""N, 151°53'24E",7.150555556,151.89,1,hour
Buden_2015,Buden_2015_data,Ouu (Eo),,,,0.40,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°14'00""N, 151°55'05""E","7°14'00""N, 151°55'05""E",7.233333333,151.9180556,0,hour
Buden_2015,Buden_2015_data,Piiekefis,,,,0.50,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°01'49""N, 152°00'15'E","7°01'49""N, 152°00'15'E",7.030277778,152.0041667,0.5,hour
Buden_2015,Buden_2015_data,Pwenes (Pones),,,,17.20,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°12'17""N, 151°59'17""E","7°12'17""N, 151°59'17""E",7.204722222,151.9880556,1,hour
Buden_2015,Buden_2015_data,Salat (Salat),,,,24.20,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°14'01""N, 152°00'18""E","7°14'01""N, 152°00'18""E",7.233611111,152.005,2,hour
Buden_2015,Buden_2015_data,Uman (Uman),,,,470.20,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°18'03""N, 151°52'51""E","7°18'03""N, 151°52'51""E",7.300833333,151.8808333,4,day
Buden_2015,Buden_2015_data,Upwuht (Uput),,,,7.90,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°13'24""N, 151°59'45""E","7°13'24""N, 151°59'45""E",7.223333333,151.9958333,0.5,hour
Buden_2015,Buden_2015_data,Wininen (Udidan),,,,11.30,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°10'24""N, 151°57'03""E","7°10'24""N, 151°57'03""E",7.173333333,151.9508333,1,hour
Buden_2015,Buden_2015_data,Wissas (Uijec),,,,40.50,Buden_2015,NA,,,Herpetofauna,True island,Atoll,,"7°09'50""N, 151°56'14""E","7°09'50""N, 151°56'14""E",7.163888889,151.9372222,1,hour
Burbrink_2015,Burbrink_2015_data,Assateague_VA,54,Above 38,,7700,"Patterson, Fraser & Roggenbuck, 1991, FACTORS AFFECTING PIPING PLOVER PRODUCTIVITY ON ASSATEAGUE ISLAND, J. WILDL. MANAGE. 55(3):525-531",NA,,,Herpetofauna,Barrier island,Barrier island,,"38.0849807518905, -75.2036316398686","38.0849807518905, -75.2036316398686",38.08498075,-75.20363164,,
Burbrink_2015,Burbrink_2015_data,Bald_Head_NC,54,Above 38,,620,"Sherrill, Snider & dePerno, 2010, White-tailed Deer on a Barrier Island: Implications for Preserving an Ecologically Important Maritime Forest, Proc. Annu. Conf. SEAFWA ",NA,,,Herpetofauna,Barrier island,Barrier island,,"33.8575209806877, -77.9870241269289","33.8575209806877, -77.9870241269289",33.85752098,-77.98702413,,
Burbrink_2015,Burbrink_2015_data,Big_Pine_Key_FL,54,Above 38,,920,"Ross, M. S., O'Brien, J. J., & da Silveira Lobo Sternberg, L. (1994). Sea‐level rise and the reduction in pine forests in the Florida Keys. Ecological Applications, 4(1), 144-156.",2,"C.D. Langevin, M.T. Stewart, C.M. Beaudoin, 2005, Effects of Sea Water Canals on Fresh Water Resources: An Example from Big Pine Key, Florida, Groundwater 36(3)",maximum elevation,Herpetofauna,Barrier island,Barrier island,,"24.6698651972787, -81.353969005202","24.6698651972787, -81.353969005202",24.6698652,-81.35396901,,
Burbrink_2015,Burbrink_2015_data,Blackbeard_GA,54,Above 38,,2273.53,https://www.fws.gov/refuge/Blackbeard_Island/about.html,NA,,,Herpetofauna,Barrier island,Barrier island,,"31.5160565997104, -81.1959279979791","31.5160565997104, -81.1959279979791",31.5160566,-81.195928,,
Burbrink_2015,Burbrink_2015_data,Block_Island_RI,54,Above 38,,2520.00,"Finch C, Al-Damluji MS, Krause PJ, Niccolai L, Steeves T, O’Keefe CF, et al. (2014) Integrated Assessment of Behavioral and Environmental Risk Factors for Lyme Disease Infection on Block Island, Rhode Island. PLoS ONE 9(1): e84758. https://doi.org/10.1371/journal.pone.0084758",NA,,,Herpetofauna,Barrier island,Barrier island,,"41.16839891251, -71.5790143785868","41.16839891251, -71.5790143785868",41.16839891,-71.57901438,,
Burbrink_2015,Burbrink_2015_data,Bodie_NC,54,Above 38,,4.652384824,"low res map available in ,Journal of Coastal Research Fort Lauderdale, Florida Winter 1996
Assessing the Impact of Tidal Inlets on Adjacent
Barrier Island Shorelines
Michael Fenster and Robert Dolan",NA,,,Herpetofauna,Barrier island,Barrier island,,"35.894246, -75.589614","35.894246, -75.589614",35.894246,-75.589614,,
Burbrink_2015,Burbrink_2015_data,Capers_SC,54,Above 38,,430,Wikipedia,NA,,,Herpetofauna,Barrier island,Barrier island,,"32.8682294863481, -79.6789653035457","32.8682294863481, -79.6789653035457",32.86822949,-79.6789653,,
Burbrink_2015,Burbrink_2015_data,Cat_Island_MS,54,Above 38,,690,Google Earth,NA,,,Herpetofauna,Barrier island,Barrier island,,"30.2280135994166, -89.1014933055199","30.2280135994166, -89.1014933055199",30.2280136,-89.10149331,,
Burbrink_2015,Burbrink_2015_data,Chincoteague_VA,54,Above 38,,2398,Wikipedia,1,Wikipedia,maximum elevation,Herpetofauna,Barrier island,Barrier island,,"37.9312766424528, -75.3648030945529","37.9312766424528, -75.3648030945529",37.93127664,-75.36480309,,
Burbrink_2015,Burbrink_2015_data,Cobb_VA,54,Above 38,Cobb VA,532,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",2.1,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",maximum elevation,Herpetofauna,Barrier island,Barrier island,,"37.3259030044415, -75.7482756545051","37.3259030044415, -75.7482756545051",37.325903,-75.74827565,,
Burbrink_2015,Burbrink_2015_data,Cumberland_GA,54,Above 38,,14568.696,https://www.nps.gov/cuis/index.htm,NA,,,Herpetofauna,Barrier island,Barrier island,,"30.8532763950089, -81.4388858235991","30.8532763950089, -81.4388858235991",30.8532764,-81.43888582,,
Burbrink_2015,Burbrink_2015_data,Dauphin_AL,54,Above 38,,1620,Wikipedia,2,Wikipedia,maximum elevation,Herpetofauna,Barrier island,Barrier island,,"30.2491951679137, -88.1902212764238","30.2491951679137, -88.1902212764238",30.24919517,-88.19022128,,
Burbrink_2015,Burbrink_2015_data,East_Ship_MS,54,Above 38,,175,Google Earth,NA,,,Herpetofauna,Barrier island,Barrier island,,"30.2103106511818, -88.9674152960702","30.2103106511818, -88.9674152960702",30.21031065,-88.9674153,,
