ISL_ID,study_ID,Study,island_code,island_name,island_area_ha,island_area_source,elevation_m_asl,elevation_source,elevation_category,DEM_elevation_max,DEM_elevation_min,DEM_latitude,DEM_longitude,Taxa,Type_of_island,dataset_coord_lat_long,island_coord,island_coord_richtext,island_lat,island_lon,coordinate checking,sampling_effort,sampling_effort_unit,,
24,Barun_2010,Barun_2010_data,Dugi Otok,Dugi Otok,11400.00,,NA,,,56,1,43.992647,15.091194,"Reptiles, snakes, turtles and amphibians",real island,,"43.992647, 15.091194","43.992647, 15.091194",43.992647,15.091194,FALSE,1,balanced,,
25,Barun_2010,Barun_2010_data,Hvar,Hvar,29900.00,,NA,,,607,1,43.190562,16.656577,"Reptiles, snakes, turtles and amphibians",real island,,"43.190562, 16.656577","43.190562, 16.656577",43.190562,16.656577,FALSE,1,balanced,,
26,Barun_2010,Barun_2010_data,Korcula,Korčula,27000.00,,NA,,,558,1,42.948699,16.888885,"Reptiles, snakes, turtles and amphibians",real island,,"42.948699, 16.888885","42.948699, 16.888885",42.948699,16.888885,FALSE,1,balanced,,
27,Barun_2010,Barun_2010_data,Lastovo,Lastovo,39400.00,,NA,,,405,1,42.754356,16.875812,"Reptiles, snakes, turtles and amphibians",real island,,"42.754356, 16.875812","42.754356, 16.875812",42.754356,16.875812,TRUE,1,balanced,,
28,Barun_2010,Barun_2010_data,Mljet,Mljet,10000.00,,NA,,,494,1,42.760984,17.513785,"Reptiles, snakes, turtles and amphibians",real island,,"42.760984, 17.513785","42.760984, 17.513785",42.760984,17.513785,FALSE,1,balanced,,
29,Bell_2017,Bell_2017_data,AL,,0.70,,358,Google Earth,maximum elevation,546,358,55.192956,-105.05577,Beetles,lake island,"55.083247, -104.898828","55.192956n, 105.055770w","55.192956n, 105.055770w",55.192956,-105.05577,FALSE,1,balanced,,
30,Bell_2017,Bell_2017_data,BI,,980.70,,394,Google Earth,maximum elevation,546,358,55.122186,-105.025311,Beetles,lake island,"55.083247, -104.898828","55.122186N, 105.025311w","55.122186N, 105.025311w",55.122186,-105.025311,FALSE,1,balanced,,
31,Bell_2017,Bell_2017_data,BR,,255.10,,384,Google Earth,maximum elevation,546,358,55.129553,-105.072007,Beetles,lake island,"55.083247, -104.898828","55.129553N, 105.072007W","55.129553N, 105.072007W",55.129553,-105.072007,FALSE,1,balanced,,
32,Bell_2017,Bell_2017_data,CC,,21.10,,383,Google Earth,maximum elevation,546,358,55.146967,-105.170144,Beetles,lake island,"55.083247, -104.898828","55.146967N,105.170144W","55.146967N,105.170144W",55.146967,-105.170144,FALSE,1,balanced,,
33,Bell_2017,Bell_2017_data,CD,,3.20,,370,Google Earth,maximum elevation,546,358,55.174306,-105.037334,Beetles,lake island,"55.083247, -104.898828","55.174306n,105.037334w","55.174306n,105.037334w",55.174306,-105.037334,TRUE,1,balanced,,
34,Bell_2017,Bell_2017_data,CI,,1.20,,358,Google Earth,maximum elevation,534,328,55.168493,-104.962795,Beetles,lake island,"55.083247, -104.898828","55.168493n, 104.962795w","55.168493n, 104.962795w",55.168493,-104.962795,FALSE,1,balanced,,
35,Bell_2017,Bell_2017_data,CU,,1.50,,358,Google Earth,maximum elevation,534,328,55.077522,-104.936614,Beetles,lake island,"55.083247, -104.898828","55.077522n, 104.936614w","55.077522n, 104.936614w",55.077522,-104.936614,TRUE,1,balanced,,
36,Bell_2017,Bell_2017_data,DG,,10.30,,358,Google Earth,maximum elevation,546,358,55.102476,-105.258638,Beetles,lake island,"55.083247, -104.898828","55.102476N, 105.258638W","55.102476N, 105.258638W",55.102476,-105.258638,TRUE,1,balanced,,
37,Bell_2017,Bell_2017_data,EW,,0.20,,NA,Google Earth,maximum elevation,546,358,55.141667,-105.124381,Beetles,lake island,"55.083247, -104.898828","55.141667N, 105.124381W","55.141667N, 105.124381W",55.141667,-105.124381,FALSE,1,balanced,,
38,Bell_2017,Bell_2017_data,FI,,0.30,,358,Google Earth,maximum elevation,546,358,55.079915,-105.149625,Beetles,lake island,"55.083247, -104.898828","55.079915N, 105.149625w","55.079915N, 105.149625w",55.079915,-105.149625,TRUE,1,balanced,,
39,Bell_2017,Bell_2017_data,FU,,2.60,,358,Google Earth,maximum elevation,546,358,55.098953,-105.233235,Beetles,lake island,"55.083247, -104.898828","55.098953N, 105.233235W","55.098953N, 105.233235W",55.098953,-105.233235,FALSE,1,balanced,,
40,Bell_2017,Bell_2017_data,GL,,0.70,,358,Google Earth,maximum elevation,546,358,55.113979,-105.239216,Beetles,lake island,"55.083247, -104.898828","55.113979N,105.239216W","55.113979N,105.239216W",55.113979,-105.239216,FALSE,1,balanced,,
41,Bell_2017,Bell_2017_data,HB,,0.50,,358,Google Earth,maximum elevation,546,358,55.084096,-105.003672,Beetles,lake island,"55.083247, -104.898828","55.084096n, 105.003672w","55.084096n, 105.003672w",55.084096,-105.003672,FALSE,1,balanced,,
42,Bell_2017,Bell_2017_data,JO,,130.20,,393,Google Earth,maximum elevation,534,328,55.180049,-104.979154,Beetles,lake island,"55.083247, -104.898828","55.180049n, 104.979154w","55.180049n, 104.979154w",55.180049,-104.979154,FALSE,1,balanced,,
43,Bell_2017,Bell_2017_data,KD,,29.40,,372,Google Earth,maximum elevation,546,358,55.198865,-105.059707,Beetles,lake island,"55.083247, -104.898828","55.198865n, 105.059707w","55.198865n, 105.059707w",55.198865,-105.059707,FALSE,1,balanced,,
44,Bell_2017,Bell_2017_data,KS,,3.40,,358,Google Earth,maximum elevation,546,358,55.10197,-105.127771,Beetles,lake island,"55.083247, -104.898828","55.101970N, 105.127771w","55.101970N, 105.127771w",55.10197,-105.127771,FALSE,1,balanced,,
45,Bell_2017,Bell_2017_data,LG,,0.60,,358,Google Earth,maximum elevation,534,328,55.179011,-104.932673,Beetles,lake island,"55.083247, -104.898828","55.179011n, 104.932673w","55.179011n, 104.932673w",55.179011,-104.932673,FALSE,1,balanced,,
46,Bell_2017,Bell_2017_data,LO,,15.10,,358,Google Earth,maximum elevation,534,328,55.193758,-104.953544,Beetles,lake island,"55.083247, -104.898828","55.193758n, 104.953544w","55.193758n, 104.953544w",55.193758,-104.953544,FALSE,1,balanced,,
47,Bell_2017,Bell_2017_data,LQ,,26.90,,374,Google Earth,maximum elevation,534,328,55.19983,-104.867697,Beetles,lake island,"55.083247, -104.898828","55.199830n, 104.867697w","55.199830n, 104.867697w",55.19983,-104.867697,FALSE,1,balanced,,
48,Bell_2017,Bell_2017_data,LV,,169.10,,382,Google Earth,maximum elevation,534,328,55.086445,-104.992028,Beetles,lake island,"55.083247, -104.898828","55.086445n, 104.992028w","55.086445n, 104.992028w",55.086445,-104.992028,FALSE,1,balanced,,
49,Bell_2017,Bell_2017_data,LZ,,289.20,,399,Google Earth,maximum elevation,534,328,55.213874,-104.954484,Beetles,lake island,"55.083247, -104.898828","55.213874n, 104.954484w","55.213874n, 104.954484w",55.213874,-104.954484,FALSE,1,balanced,,
50,Bell_2017,Bell_2017_data,MT,,7.50,,371,Google Earth,maximum elevation,546,358,55.124828,-105.192045,Beetles,lake island,"55.083247, -104.898828","55.124828N, 105,192045W","55.124828N, 105,192045W",55.124828,-105.192045,FALSE,1,balanced,,
51,Bell_2017,Bell_2017_data,NC,,19.30,,380,Google Earth,maximum elevation,534,328,55.140597,-104.857851,Beetles,lake island,"55.083247, -104.898828","55.140597n, 104.857851w","55.140597n, 104.857851w",55.140597,-104.857851,FALSE,1,balanced,,
52,Bell_2017,Bell_2017_data,NT,,43.20,,390,Google Earth,maximum elevation,534,328,55.120802,-104.942421,Beetles,lake island,"55.083247, -104.898828","55.120802n, 104.942421w","55.120802n, 104.942421w",55.120802,-104.942421,FALSE,1,balanced,,
53,Bell_2017,Bell_2017_data,RB,,2.50,,358,Google Earth,maximum elevation,546,358,55.053817,-105.007133,Beetles,lake island,"55.083247, -104.898828","55.053817n, 105.007133w","55.053817n, 105.007133w",55.053817,-105.007133,FALSE,1,balanced,,
54,Bell_2017,Bell_2017_data,RI,,1.60,,358,Google Earth,maximum elevation,546,358,55.078029,-105.023741,Beetles,lake island,"55.083247, -104.898828","55.078029n, 105.023741w","55.078029n, 105.023741w",55.078029,-105.023741,TRUE,1,balanced,,
55,Bell_2017,Bell_2017_data,ROSS,,534.80,,391,Google Earth,maximum elevation,546,358,55.144176,-105.14191,Beetles,lake island,"55.083247, -104.898828","55.144176N, 105.141910W","55.144176N, 105.141910W",55.144176,-105.14191,FALSE,1,balanced,,
56,Bell_2017,Bell_2017_data,SD,,8.20,,358,Google Earth,maximum elevation,546,358,55.110376,-105.099904,Beetles,lake island,"55.083247, -104.898828","55.110376N, 105.099904W","55.110376N, 105.099904W",55.110376,-105.099904,FALSE,1,balanced,,
57,Bell_2017,Bell_2017_data,TB,,19.50,,358,Google Earth,maximum elevation,534,328,55.109486,-104.889988,Beetles,lake island,"55.083247, -104.898828","55.109486n, 104.889988w","55.109486n, 104.889988w",55.109486,-104.889988,FALSE,1,balanced,,
58,Bell_2017,Bell_2017_data,UK,,124.30,,370,Google Earth,maximum elevation,546,358,55.145005,-105.11301,Beetles,lake island,"55.083247, -104.898828","55.145005N, 105.113010W","55.145005N, 105.113010W",55.145005,-105.11301,FALSE,1,balanced,,
59,Borges_2016,Borges_2016_data,Faial,,17306.00,Borges_2016,1043,Borges_2016,maximum elevation,1050,1,38.57583333,-28.7125,Beetles,real island,"39.260818,-30.647224","38°34'33""N 28°42'45""W",38°34′33″N 28°42′45″W,38.57583333,-28.7125,FALSE,13,total number of transects,,
60,Borges_2016,Borges_2016_data,Flores,,14102.00,Borges_2016,911,Borges_2016,maximum elevation,914,1,39.46666667,-31.21666667,Beetles,real island,"39.260818,-30.647224",39°28'N 31°13'W,39°28′N 31°13′W,39.46666667,-31.21666667,FALSE,16,total number of transects,,
61,Borges_2016,Borges_2016_data,Pico,,44498.00,Borges_2016,2350,Borges_2016,maximum elevation,2319,1,38.504213,-28.567602,Beetles,real island,"39.260818,-30.647224","38.504213N, -28.567602E","38.504213N, -28.567602E",38.504213,-28.567602,TRUE,20,total number of transects,,
62,Borges_2016,Borges_2016_data,Santamaria,,9689,Wikipedia,590,Wikipedia,maximum elevation,570,1,36.977716,-25.173433,Beetles,real island,"39.260818,-30.647224","36.977716N, -25.173433E","36.977716N, -25173433E",36.977716,-25.173433,FALSE,10,total number of transects,,
63,Borges_2016,Borges_2016_data,Saojorge,,24365.00,Borges_2016,1053,Borges_2016,maximum elevation,1042,1,38.669108,-28.183559,Beetles,real island,"39.260818,-30.647224","38.669108N, -28.183559E","38.669108N, -28.183559E",38.669108,-28.183559,FALSE,12,total number of transects,,
64,Borges_2016,Borges_2016_data,Saomiguel,,74456.00,Borges_2016,1105,Borges_2016,maximum elevation,1094,1,37.77,-25.47,Beetles,real island,"39.260818,-30.647224",37.77°N 25.47°W,37.77°N 25.47°W,37.77,-25.47,FALSE,18,total number of transects,,
65,Borges_2016,Borges_2016_data,Terceira,,40030.00,Borges_2016,1021,Borges_2016,maximum elevation,1028,1,38.723661,-27.48447,Beetles,real island,"39.260818,-30.647224","38.723661N, -27.48447E","38.723661N, -27.48447E",38.723661,-27.48447,TRUE,63,total number of transects,,
66,Burbrink_2015,Burbrink_2015_data,Assateague_VA,,7700,"Patterson, Fraser & Roggenbuck, 1991, FACTORS AFFECTING PIPING PLOVER PRODUCTIVITY ON ASSATEAGUE ISLAND, J. WILDL. MANAGE. 55(3):525-531",NA,,,20,1,38.08498075,-75.20363164,reptiles,Barrier,,"38.0849807518905, -75.2036316398686","38.0849807518905, -75.2036316398686",38.08498075,-75.20363164,FALSE,NA,,,
67,Burbrink_2015,Burbrink_2015_data,Bald_Head_NC,,620,"Sherrill, Snider & dePerno, 2010, White-tailed Deer on a Barrier Island: Implications for Preserving an Ecologically Important Maritime Forest, Proc. Annu. Conf. SEAFWA ",NA,,,11,1,33.85752098,-77.98702413,reptiles,Barrier,,"33.8575209806877, -77.9870241269289","33.8575209806877, -77.9870241269289",33.85752098,-77.98702413,FALSE,NA,,,
68,Burbrink_2015,Burbrink_2015_data,Big_Pine_Key_FL,,920,"Ross, M. S., O'Brien, J. J., & da Silveira Lobo Sternberg, L. (1994). Sea‐level rise and the reduction in pine forests in the Florida Keys. Ecological Applications, 4(1), 144-156.",2,"C.D. Langevin, M.T. Stewart, C.M. Beaudoin, 2005, Effects of Sea Water Canals on Fresh Water Resources: An Example from Big Pine Key, Florida, Groundwater 36(3)",maximum elevation,23,1,24.6698652,-81.35396901,reptiles,Barrier,,"24.6698651972787, -81.353969005202","24.6698651972787, -81.353969005202",24.6698652,-81.35396901,FALSE,NA,,,
69,Burbrink_2015,Burbrink_2015_data,Blackbeard_GA,,2273.53,https://www.fws.gov/refuge/Blackbeard_Island/about.html,NA,,,33,1,31.5160566,-81.195928,reptiles,Barrier,,"31.5160565997104, -81.1959279979791","31.5160565997104, -81.1959279979791",31.5160566,-81.195928,FALSE,NA,,,
70,Burbrink_2015,Burbrink_2015_data,Block_Island_RI,,2520.00,"Finch C, Al-Damluji MS, Krause PJ, Niccolai L, Steeves T, O’Keefe CF, et al. (2014) Integrated Assessment of Behavioral and Environmental Risk Factors for Lyme Disease Infection on Block Island, Rhode Island. PLoS ONE 9(1): e84758. https://doi.org/10.1371/journal.pone.0084758",NA,,,69,1,41.16839891,-71.57901438,reptiles,Barrier,,"41.16839891251, -71.5790143785868","41.16839891251, -71.5790143785868",41.16839891,-71.57901438,FALSE,NA,,,
71,Burbrink_2015,Burbrink_2015_data,Bodie_NC,,4.652384824,"low res map available in ,Journal of Coastal Research Fort Lauderdale, Florida Winter 1996
Assessing the Impact of Tidal Inlets on Adjacent
Barrier Island Shorelines
Michael Fenster and Robert Dolan",NA,,,30,1,35.894246,-75.589614,reptiles,Barrier,,"35.894246, -75.589614","35.894246, -75.589614",35.894246,-75.589614,FALSE,NA,,,
72,Burbrink_2015,Burbrink_2015_data,Capers_SC,,430,Wikipedia,NA,,,17,1,32.86822949,-79.6789653,reptiles,Barrier,,"32.8682294863481, -79.6789653035457","32.8682294863481, -79.6789653035457",32.86822949,-79.6789653,FALSE,NA,,,
73,Burbrink_2015,Burbrink_2015_data,Cat_Island_MS,,690,Google Earth,NA,,,14,1,30.2280136,-89.10149331,reptiles,Barrier,,"30.2280135994166, -89.1014933055199","30.2280135994166, -89.1014933055199",30.2280136,-89.10149331,FALSE,NA,,,
74,Burbrink_2015,Burbrink_2015_data,Chincoteague_VA,,2398,Wikipedia,1,Wikipedia,maximum elevation,54,1,37.93127664,-75.36480309,reptiles,Barrier,,"37.9312766424528, -75.3648030945529","37.9312766424528, -75.3648030945529",37.93127664,-75.36480309,FALSE,NA,,,
75,Burbrink_2015,Burbrink_2015_data,Cobb_VA,Cobb VA,532,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",2.1,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",maximum elevation,32,1,37.325903,-75.74827565,reptiles,Barrier,,"37.3259030044415, -75.7482756545051","37.3259030044415, -75.7482756545051",37.325903,-75.74827565,FALSE,NA,,,
76,Burbrink_2015,Burbrink_2015_data,Cumberland_GA,,14568.696,https://www.nps.gov/cuis/index.htm,NA,,,116,1,30.8532764,-81.43888582,reptiles,Barrier,,"30.8532763950089, -81.4388858235991","30.8532763950089, -81.4388858235991",30.8532764,-81.43888582,FALSE,NA,,,
77,Burbrink_2015,Burbrink_2015_data,Dauphin_AL,,1620,Wikipedia,2,Wikipedia,maximum elevation,17,1,30.24919517,-88.19022128,reptiles,Barrier,,"30.2491951679137, -88.1902212764238","30.2491951679137, -88.1902212764238",30.24919517,-88.19022128,FALSE,NA,,,
78,Burbrink_2015,Burbrink_2015_data,East_Ship_MS,,175,Google Earth,NA,,,19,1,30.21031065,-88.9674153,reptiles,Barrier,,"30.2103106511818, -88.9674152960702","30.2103106511818, -88.9674152960702",30.21031065,-88.9674153,FALSE,NA,,,
79,Burbrink_2015,Burbrink_2015_data,Egmont_Key_FL,,133,Wikipedia,NA,,,11,1,27.59019827,-82.76206723,reptiles,Barrier,,"27.5901982729293, -82.7620672326923","27.5901982729293, -82.7620672326923",27.59019827,-82.76206723,FALSE,NA,,,
80,Burbrink_2015,Burbrink_2015_data,Fire_Island_NY,,2490,Wikipedia,NA,,,47,1,40.65703177,-73.09996813,reptiles,Barrier,,"40.657031771687, -73.0999681258503","40.657031771687, -73.0999681258503",40.65703177,-73.09996813,FALSE,NA,,,
81,Burbrink_2015,Burbrink_2015_data,Fisherman_VA,,750,Wikipedia,NA,,,4,1,37.09285574,-75.96355568,reptiles,Barrier,,"37.0928557394381, -75.9635556784417","37.0928557394381, -75.9635556784417",37.09285574,-75.96355568,FALSE,NA,,,
82,Burbrink_2015,Burbrink_2015_data,Fort_Matanzas_FL(FLMN),,3.7038986,high res map available in https://www.jstor.org/stable/41968359?origin=JSTOR-pdf&seq=1/analyze,5.2,"Zomlefer, W., Giannasi, D., Judd, W., Kruse, L., & Bettinger, K. (2004). A FLORISTIC SURVEY OF FORT MATANZAS NATIONAL MONUMENT, ST. JOHNS COUNTY, FLORIDA. SIDA, Contributions to Botany, 21(2), 1081-1106. Retrieved from http://www.jstor.org/stable/41968359",,11,1,29.7117478,-81.23770103,reptiles,Barrier,,"29.7117478034447, -81.2377010322918","29.7117478034447, -81.2377010322918",29.7117478,-81.23770103,FALSE,NA,,,
83,Burbrink_2015,Burbrink_2015_data,Hatteras_IS_NC,,8556,Wikipedia,NA,,,20,1,35.25110003,-75.55391422,reptiles,Barrier,,"35.2511000284879, -75.5539142215332","35.2511000284879, -75.5539142215332",35.25110003,-75.55391422,FALSE,NA,,,
84,Burbrink_2015,Burbrink_2015_data,Hog_VA,Hog VA,1177,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",3,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",maximum elevation,19,1,37.41525999,-75.69020005,reptiles,Barrier,,"37.4152599949323, -75.6902000477331","37.4152599949323, -75.6902000477331",37.41525999,-75.69020005,FALSE,NA,,,
85,Burbrink_2015,Burbrink_2015_data,Horn_MS,,1100,Wikipedia,NA,,,26,1,30.23590111,-88.66994794,reptiles,Barrier,,"30.2359011056213, -88.6699479420119","30.2359011056213, -88.6699479420119",30.23590111,-88.66994794,FALSE,NA,,,
86,Burbrink_2015,Burbrink_2015_data,Isle_of_the_Palms_SC,,1150,Wikipedia,3,Wikipedia,maximum elevation,23,1,32.80250443,-79.74692268,reptiles,Barrier,,"32.8025044298533, -79.7469226760062","32.8025044298533, -79.7469226760062",32.80250443,-79.74692268,FALSE,NA,,,
87,Burbrink_2015,Burbrink_2015_data,Jekyll_GA,,2300,Wikipedia,NA,,,31,1,31.07000639,-81.4202677,reptiles,Barrier,,"31.0700063936645, -81.4202677003376","31.0700063936645, -81.4202677003376",31.07000639,-81.4202677,FALSE,NA,,,
88,Burbrink_2015,Burbrink_2015_data,Key_Biscayne_FL,,340,Wikipedia,1,Wikipedia,maximum elevation,116,1,25.693713,-80.16282481,reptiles,Barrier,,"25.6937130023199, -80.1628248065623","25.6937130023199, -80.1628248065623",25.693713,-80.16282481,FALSE,NA,,,
89,Burbrink_2015,Burbrink_2015_data,Kiawah_SC,,2840,Wikipedia,4,Wikipedia,maximum elevation,43,1,32.60823729,-80.0848166,reptiles,Barrier,,"32.6082372905324, -80.0848165964682","32.6082372905324, -80.0848165964682",32.60823729,-80.0848166,FALSE,NA,,,
90,Burbrink_2015,Burbrink_2015_data,Little_St._Simmons_GA,,4046.86,Wikipedia,NA,,,23,1,31.29871962,-81.33148286,reptiles,Barrier,,"31.2987196210892, -81.3314828591044","31.2987196210892, -81.3314828591044",31.29871962,-81.33148286,FALSE,NA,,,
91,Burbrink_2015,Burbrink_2015_data,Long_Island_NY,,363000,Wikipedia,NA,,,131,1,40.78914212,-73.13496149,reptiles,Barrier,,"40.7891421223246, -73.1349614905072","40.7891421223246, -73.1349614905072",40.78914212,-73.13496149,FALSE,NA,,,
92,Burbrink_2015,Burbrink_2015_data,Marthas_Vineyard_MA,,25000,Wikipedia,94.8,Wikipedia,maximum elevation,88,1,41.38049804,-70.64547301,reptiles,Barrier,,"41.3804980418156, -70.6454730062799","41.3804980418156, -70.6454730062799",41.38049804,-70.64547301,FALSE,NA,,,
93,Burbrink_2015,Burbrink_2015_data,Myrtle_VA,Myrtle VA,407,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",3.7,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",maximum elevation,39,1,37.19295733,-75.8191766,reptiles,Barrier,,"37.1929573279882, -75.8191765977305","37.1929573279882, -75.8191765977305",37.19295733,-75.8191766,FALSE,NA,,,
94,Burbrink_2015,Burbrink_2015_data,Nantucket_MA,,12380,Wikipedia,9,Wikipedia,maximum elevation,31,1,41.28347036,-70.09945095,reptiles,Barrier,,"41.2834703639415, -70.0994509467649","41.2834703639415, -70.0994509467649",41.28347036,-70.09945095,FALSE,NA,,,
95,Burbrink_2015,Burbrink_2015_data,Nomans_Land_MA,,248,Wikipedia,NA,,,30,1,41.2575524,-70.8149683,reptiles,Barrier,,"41.2575524016712, -70.8149682951003","41.2575524016712, -70.8149682951003",41.2575524,-70.8149683,FALSE,NA,,,
96,Burbrink_2015,Burbrink_2015_data,Ocrakcoke_NC,,2230,Wikipedia,NA,,,14,1,35.11461531,-75.98100974,reptiles,Barrier,,"35.1146153069484, -75.9810097445342","35.1146153069484, -75.9810097445342",35.11461531,-75.98100974,FALSE,NA,,,
97,Burbrink_2015,Burbrink_2015_data,Ossabaw_GA,,11000,Wikipedia,NA,,,39,1,31.7615309,-81.10857442,reptiles,Barrier,,"31.7615308955715, -81.1085744193453","31.7615308955715, -81.1085744193453",31.7615309,-81.10857442,FALSE,NA,,,
98,Burbrink_2015,Burbrink_2015_data,Padre_IS_Seashore_TX,,54000,Wikipedia,NA,,,26,1,26.844444,-97.367778,reptiles,Barrier,,"26.844444, -97.367778","26.844444, -97.367778",26.844444,-97.367778,FALSE,NA,,,
